
0,30609
1,48384
2,29687
3,120002
4,31265
5,43706
6,27717
7,71363
8,29627
9,51551
10,47463
11,37682
12,36193
13,72449
14,25432
15,35096
16,31722
17,33387
18,25424
19,32384
20,45003
21,36182
22,84760
23,46333
24,32897
25,39094
26,45312
27,37517
28,120005
29,40078
30,22286
31,31419
32,48711
33,38245
34,32115
35,28064
36,120021
37,25478
38,36171
39,30470
40,36171
41,25416
42,40268
43,79858
44,23080
45,25775
46,29732
47,23784
48,52475
49,40462
50,36178
51,26188
52,76033
53,103605
54,39947
55,35147
56,39420
57,41584
58,29309
59,26760
